scientific_name	strain	gcf_accession	refseq_category	phylum	class	order	family	genus	species	habitat	oxygen_requirement	gut_flag	pathogenicity
Abiotrophia defectiva	FDAARGOS_785	GCF_013267415.1	reference genome	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Abyssalbus ytuae	MT3330	GCF_022807975.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Abyssalbus	Abyssalbus ytuae	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Abyssibius alkaniclasticus	960558	GCF_020447305.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Abyssibius	Abyssibius alkaniclasticus	soil/water	aerobe	non_gut	non_pathogenic
Abyssicoccus albus	S31	GCF_001989575.1	reference genome	Bacillota	Bacilli	Bacillales	Abyssicoccaceae	Abyssicoccus	Abyssicoccus albus	soil	aerobe	non_gut	non_pathogenic
Abyssogena phaseoliformis symbiont OG214		GCF_016592595.1	reference genome	Pseudomonadota	Gammaproteobacteria			Abyssogena	Abyssogena phaseoliformis symbiont	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Acanthopleuribacter pedis		GCF_965112945.1	reference genome	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter pedis	acidic soil	facultative_anaerobe	non_gut	non_pathogenic
Acaryochloris marina MBIC11017	MBIC11017	GCF_000018105.1	reference genome	Cyanobacteriota	Cyanophyceae	Acaryochloridales	Acaryochloridaceae	Acaryochloris	Acaryochloris marina	freshwater/marine	aerobe	non_gut	non_pathogenic
Aceticella autotrophica	3443-3Ac	GCF_017357865.1	reference genome	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Aceticella	Aceticella autotrophica	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Acetilactobacillus jinshanensis	HSLZ-75	GCF_004359375.1	reference genome	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Acetilactobacillus	Acetilactobacillus jinshanensis	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Acetivibrio thermocellus ATCC 27405	ATCC 27405	GCF_000015865.1	reference genome	Bacillota	Clostridia	Acetivibrionales	Acetivibrionaceae	Acetivibrio	Acetivibrio thermocellus	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Acetoanaerobium sticklandii	DSM 519	GCF_000196455.1	reference genome	Bacillota	Clostridia	Peptostreptococcales	Filifactoraceae	Acetoanaerobium	Acetoanaerobium sticklandii	human gut	obligate_anaerobe	gut_associated	opportunistic_pathogen
Acetobacter oryzoeni	B6	GCF_004014775.2	reference genome	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter oryzoeni	plant/fruit	aerobe	non_gut	non_pathogenic
Acetobacterium malicum subsp. dehalogenans DSM 11527	DSM 11527	GCF_047456285.1	reference genome	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium malicum	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Acetohalobium arabaticum DSM 5501	DSM 5501	GCF_000144695.1	reference genome	Bacillota	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium arabaticum	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Acholeplasma laidlawii PG-8A	PG-8A	GCF_000018785.1	reference genome	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii	animal/plant	facultative_anaerobe	non_gut	non_pathogenic
Achromobacter denitrificans	FDAARGOS_786	GCF_013267395.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter denitrificans	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Acidaminobacterium chupaoyuni	LBM23126	GCF_047936785.1	reference genome	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acidaminobacterium	Acidaminobacterium chupaoyuni	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Acidaminococcus fermentans DSM 20731	DSM 20731	GCF_000025305.1	reference genome	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans	human gut/oral	obligate_anaerobe	gut_associated	non_pathogenic
Acidibrevibacterium fodinaquatile	G45-3	GCF_003352165.1	reference genome	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidibrevibacterium	Acidibrevibacterium fodinaquatile	soil/water	aerobe	non_gut	non_pathogenic
Acididesulfobacillus acetoxydans		GCF_902729405.1	reference genome	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Acididesulfobacillus	Acididesulfobacillus acetoxydans	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Acidiferrobacter thiooxydans	ZJ	GCF_001705075.2	reference genome	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Acidiferrobacter	Acidiferrobacter thiooxydans	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Acidihalobacter yilgarnensis	F5	GCF_001753245.1	reference genome	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter yilgarnensis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Acidilutibacter cellobiosedens	JN-28	GCF_004103715.1	reference genome	Bacillota	Tissierellia	Tissierellales	Acidilutibacteraceae	Acidilutibacter	Acidilutibacter cellobiosedens	soil/gut/clinical	facultative_anaerobe	gut_associated	non_pathogenic
Acidimicrobium ferrooxidans DSM 10331	DSM 10331	GCF_000023265.1	reference genome	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans	soil/clinical	aerobe	non_gut	non_pathogenic
Acidiphilium multivorum AIU301	AIU301	GCF_000202835.1	reference genome	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acidocellaceae	Acidiphilium	Acidiphilium multivorum	soil/water	aerobe	non_gut	non_pathogenic
Acidipropionibacterium acidipropionici	CGMCC 1.2230	GCF_001441165.1	reference genome	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium acidipropionici	dairy/skin	anaerobe	non_gut	non_pathogenic
Acidisarcina polymorpha	SBC82	GCF_003330725.1	reference genome	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidisarcina	Acidisarcina polymorpha	acidic soil	facultative_anaerobe	non_gut	non_pathogenic
Acidisoma cladoniae	PAMC 29798	GCF_030252425.1	reference genome	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acidocellaceae	Acidisoma	Acidisoma cladoniae	soil/water	aerobe	non_gut	non_pathogenic
Acidithiobacillus ferrooxidans ATCC 23270	ATCC 23270	GCF_000021485.1	reference genome	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrooxidans	soil/water/clinical	aerobe	non_gut	non_pathogenic
Acidobacterium capsulatum ATCC 51196	ATCC 51196	GCF_000022565.1	reference genome	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum	acidic soil	facultative_anaerobe	non_gut	non_pathogenic
Acidocella aluminiidurans	AL46	GCF_055383125.1	reference genome	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acidocellaceae	Acidocella	Acidocella aluminiidurans	soil/water	aerobe	non_gut	non_pathogenic
Acidothermus cellulolyticus 11B	11B; ATCC 43068	GCF_000015025.1	reference genome	Actinomycetota	Actinomycetes	Acidothermales	Acidothermaceae	Acidothermus	Acidothermus cellulolyticus	soil/clinical	aerobe	non_gut	non_pathogenic
Acidovorax sacchari	HC-19	GCF_042847045.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sacchari	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Aciduricibacillus chroicocephali	44XB	GCF_030762805.1	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Aciduricibacillus	Aciduricibacillus chroicocephali	soil	aerobe	non_gut	non_pathogenic
Acinetobacter baumannii	ATCC 19606	GCF_009035845.1	reference genome	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	clinical/soil	aerobe	non_gut	opportunistic_pathogen
Actinacidiphila reveromycinica	SN-593	GCF_016756395.1	reference genome	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Actinacidiphila	Actinacidiphila reveromycinica	soil	aerobe	non_gut	non_pathogenic
Actinoalloteichus hoggarensis	DSM 45943	GCF_002234535.1	reference genome	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinoalloteichus	Actinoalloteichus hoggarensis	soil/clinical	aerobe	non_gut	non_pathogenic
Actinobacillus pleuropneumoniae	S4074	GCF_003290385.1	reference genome	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae	animal/clinical	facultative_anaerobe	non_gut	pathogen (animal)
Actinocatenispora thailandica	NBRC 105041	GCF_016865425.1	reference genome	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinocatenispora	Actinocatenispora thailandica	soil/clinical	aerobe	non_gut	non_pathogenic
Actinokineospora auranticolor	DSM 44650	GCF_041897805.1	reference genome	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	Actinokineospora auranticolor	soil/clinical	aerobe	non_gut	non_pathogenic
Actinomadura madurae	ATCC 19425	GCF_047130825.1	reference genome	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura madurae	soil/clinical	aerobe	non_gut	non_pathogenic
Actinomarinicola tropica	SCSIO 58843	GCF_009650215.1	reference genome	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola	Actinomarinicola tropica	soil/clinical	aerobe	non_gut	non_pathogenic
Actinomyces oris	FDAARGOS_1051	GCF_016127955.1	reference genome	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oris	soil/clinical	aerobe	non_gut	non_pathogenic
Actinoplanes missouriensis 431	431	GCF_000284295.1	reference genome	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes missouriensis	soil/clinical	aerobe	non_gut	non_pathogenic
